address,total_eth_volume,tier
0x39f6a6c85d39d5abad8a398310c52e7c374f2ba3,49723.0,Whale
0xc98b5ef1ab3587e2c53013c822252578b9a056e2,49313.16,Whale
0xa177566863eb86a9699cda8e6603fb7ab2367dc9,48600.0,Whale
0x7764a3d72667eb277ab405ecbf9e21ad25d0ca6a,48597.41,Whale
0x4dd70a9a980cc0d81d334a241da0e1884670e655,48550.11,Whale
0xbea9f7fd27f4ee20066f18def0bc586ec221055a,47941.53,Whale
0x667cc3145f9f63bd796a1a62ef504aaa160550e5,46633.17,Whale
0xca686974913389d42f3c5f61010503daccdb487a,45775.94,Whale
0xce613e00bbc2b6fa5a5aa35e928a7ec584f527d9,45470.85,Whale
0x2ce910fbba65b454bbaf6a18c952a70f3bcd8299,45066.49,Whale
0x83a1a5842563efc4cd6203457b71fa61ea504395,45009.2,Whale
0xe92e65049b3c2ca12806e9567b08895118c5a03f,44948.48,Whale
0x6455327f820edd69c4cd665b995e0fec679d7f9e,44684.59,Whale
0x2c0ec52e11eee4b8f6c391bad9ceb76e73a7a2c9,43764.84,Whale
0x4a994fb903073e3fa72be313686f3cb2b4027b03,43763.44,Whale
0x60d9b2acb4bfb0625cef3f26666b03ba388edf83,43000.1,Whale
0x536c4921d1aafde6a5cda882fb5ca046f3601c65,42327.06,Whale
0x1186fcb478586338d86e116db853e2a8079745d3,42177.81,Whale
0x44bacedb1b687c04055c8ba0c79a722bee2dd8b1,41823.63,Whale
0x9642b23ed1e01df1092b92641051881a322f5d4e,41307.22,Whale
0x1fc75ad0511ddc3a23b9583ba1c285b8292faed5,41299.55,Whale
0x056c1eb7c23feaefa4ce9187aca960529868fd92,40554.19,Whale
0x9783b6ec1350a77d8d758a724b1052a027cb67a7,39600.0,Whale
0x4481dccf225df8122bae1bd3d0a696b964cad525,39600.0,Whale
0x3bf04228de5e6c54ba021e1fe843fc2e34a2285c,39600.0,Whale
0xecbac8014b1dcf9594dab517e9f33715d069ff39,39515.52,Whale
0xb028b84783a0381d51dcf0e8ef04b5e502958618,38967.29,Whale
0xa3307fa292b7dd2c91218d5688556ff7eb1e5f88,38934.85,Whale
0x43fed72b921af413aad831cebd221697b18da54f,38636.39,Whale
0x9c19b0497997fe9e75862688a295168070456951,37601.58,Whale
0x3d8a5fa0f5bfba1cfa61245427fc5d313781431e,37471.2,Whale
0x2cff890f0378a11913b6129b2e97417a2c302680,37398.62,Whale
0x12ef5e054878b225fe3d36e5aa96a3ba41eac385,37088.07,Whale
0xe6bbfefdc9c715c7db1f9ef0ca5829d3cf76b959,36620.0,Whale
0x342802f8bbad146a48e3b261927e264b2e90d02b,36423.56,Whale
0xc7bf35c9a3bdd1b1c19a6963de669cb45191a019,36287.99,Whale
0x963737c550e70ffe4d59464542a28604edb2ef9a,36242.67,Whale
0x0e58e8993100f1cbe45376c410f97f4893d9bfcd,36100.0,Whale
0x7150304611446f4d94df5984e3ec99710f39193e,35812.49,Whale
0x46f34c24a7ba7a2ac6dd76c3f09b32d41c144d08,35800.0,Whale
0xbc8a0f5e41857292d12ef620e2a5895ce65a5ce0,35723.73,Whale
0x5d0c7796aba12539c4caf0b9fa46ecc66c05ae9f,35660.67,Whale
0xece7c053131398a88850f52f215d4d60e38f46c5,35007.0,Whale
0x77021d475e36b3ab1921a0e3a8380f069d3263de,34904.27,Whale
0xac2ce04019a700eeda9b97a36a2c3b259ff6b0cd,33817.79,Whale
0xa294cca691e4c83b1fc0c8d63d9a3eef0a196de1,33718.52,Whale
0x80787af194c33b74a811f5e5c549316269d7ee1a,33384.43,Whale
0xc427b68aaae26526075df4bb6513d7b4c5c75704,33370.0,Whale
0x42bf5681a3bec188d2e67e3f82f72d4df6f02585,33350.38,Whale
0x710c1f533aa03c7516cee968415131283b819dd1,33196.64,Whale
0xf08b2603ebbd2fa30decbc7a4aa48a30262ba1c6,33137.99,Whale
0x76647c5a02f8383bf39b172cf317a4d0547d7199,32678.14,Whale
0xf56c5f4339a6f98cad165d73e450d7924c83870b,32400.0,Whale
0xdaa1f94872824ebd50240e1ff5105a7b2003ec8e,32400.0,Whale
0xe287aa11128c7db934722963325146f3efa217b5,32330.28,Whale
0x3127c055bd51d1930675d1129c9717ebb260a5d9,32320.0,Whale
0xe8e8f41ed29e46f34e206d7d2a7d6f735a3ff2cb,31873.0,Whale
0x3b6345239a23374083d27db89742a79c161c8bdd,31658.47,Whale
0x14e51143b3a5de4b4ec392680010e170c458ecc8,31643.55,Whale
0x3af4a49c8e2fcaf33fd3389543b80d320fcc9091,31301.1,Whale
0x58e70d8bed174643fb5f177e3f0ab2cfe689487d,30824.71,Whale
0x5b702b24b00a37b61ff9d71d91fed1a629edd1df,30762.87,Whale
0x33566c9d8be6cf0b23795e0d380e112be9d75836,30697.05,Whale
0xef317e433b0836f294866d43f67d6871b609b351,30647.2,Whale
0x1c79347985300642be2fb93b44bb6c4a2e46cef8,30600.0,Whale
0x9a93c73748ed022536755ead47696e599aa40bb5,30600.0,Whale
0xd886e890c05bec13a3164891a6227e2f25f1f0e7,30214.43,Whale
0x24e57b1303c75fb11a9478463082a794b77e02ea,30154.59,Whale
0x929fa1371a608f62ddc206fc266aa17afc9efae9,30000.1,Whale
0x86e284421664840cb65c5b918da59c01ed8fa666,29985.06,Whale
